brightness,contrast,face_fraction,roll,filename,best_model
77.2203738516653,79.32963997594557,1.0,0,m.0c_41x_5.npy,none
41.38159943714822,52.39770146872287,1.0,0,m.07yn71_8.npy,none
136.41497331691298,64.87909354921688,1.0,0,m.0kshgb_12.npy,none
108.86849360210906,55.7510600173894,1.0,0,m.047rtd1_18.npy,none
142.34925840978593,60.23343947593746,1.0,0,m.07wxp6_19.npy,none
50.13519196951934,47.28825476772653,1.0,0,m.027kskr_22.npy,none
168.27026818181818,75.62962010302628,1.0,0,m.025_3cc_24.npy,none
97.20455729166666,71.64821138387804,1.0,0,m.03dcm0_25.npy,none
201.527831,84.52943311909432,1.0,0,m.0dlcq9_26.npy,none
211.25601371105958,73.29565166885462,1.0,0,m.0rfgy5m_27.npy,none
174.48787339154413,54.64349234582902,1.0,0,m.03zpxb_28.npy,none
126.96678806390977,45.45671574651848,1.0,0,m.03mf9ht_29.npy,none
120.98743464052288,68.27604997807411,1.0,0,m.0djk2_32.npy,none
104.22445367132867,52.54180021682691,1.0,0,m.04yydr_34.npy,none
111.70233333333333,73.89523835605657,1.0,0,m.022w9y_36.npy,none
81.23254934557917,59.91060002748403,1.0,0,m.04cr6lq_38.npy,none
168.2359099633572,27.052051295156723,1.0,0,m.0287_p_40.npy,none
184.8833101851852,76.37369072547384,1.0,0,m.06dbn4_42.npy,none
77.214,29.457230928924734,1.0,0,m.03cty1q_43.npy,none
166.80038530082336,89.57400386656265,1.0,0,m.0gx_5f0_44.npy,none
135.07293356463032,105.77753323297642,1.0,0,m.02ry72__46.npy,none
79.98961968680089,75.26037862139464,1.0,0,m.076yxy_47.npy,none
54.840029455081,78.62417365770537,1.0,0,m.09kzkn_58.npy,none
110.43027708333334,85.61243125007154,1.0,0,m.0h536t9_59.npy,none
154.25842424242424,88.13906610854623,1.0,0,m.01qd0kv_62.npy,none
97.54565086116362,58.13378831994158,1.0,0,m.0j454vn_65.npy,none
37.09368836291913,46.304542831475835,1.0,0,m.02ppp17_69.npy,none
202.81726284861486,77.40267341804086,1.0,0,m.028y8k_70.npy,none
62.941851428571425,67.19616095667274,1.0,0,m.04lsld_73.npy,none
116.86321455178802,62.59556039626601,1.0,0,m.07g5rx_74.npy,none
193.94657407407408,27.3315754401536,1.0,0,m.01jd6m_75.npy,none
114.81172222222222,77.89279175272863,1.0,0,m.05t68s_80.npy,none
77.09512903225806,77.49322976973305,1.0,0,m.0gk_m2l_82.npy,none
120.27921692530315,42.882730018752675,1.0,0,m.05mjql_85.npy,none
105.91993815104166,66.11160436244444,1.0,0,m.026qsh2_90.npy,none
135.77071632703777,69.71840863559794,1.0,0,m.073dnn_92.npy,none
121.11195715962441,80.40619978480419,1.0,0,m.05jwk9_93.npy,none
61.5785336743393,61.71893202851062,1.0,0,m.04_h2x_99.npy,none
